filename,prompt,magic_prompt,magic_prompt_output,aspect_ratio,model,visibility,seed_number,rendering,negative_prompt,style,color_palette,image_url
0001_1_smart-factory-404-error-page-illustratio_nCoL--mCTASXCsssEQnCXg_j0jr2lRYTqKyM_Td-2zSvQ_cover.png,"Smart Factory 404 error page illustration, industrial theme, friendly error message, professional design, suitable for error page",OFF,,4:3,2.0,private,1696762256,default,,design,#007BFF #FFFFFF #666666,https://ideogram.ai/g/j0jr2lRYTqKyM_Td-2zSvQ/0
0002_1_smart-factory-about-section-background-i_4A5FicgGRniKVd4RPt7rpA_IW2Rd2CARNyFx19jKs34uw_cover.png,"Smart Factory about section background, industrial theme, professional appearance, suitable for about section background",OFF,,16:9,2.0,private,1149148795,default,,design,#007BFF #FFFFFF #666666,https://ideogram.ai/g/IW2Rd2CARNyFx19jKs34uw/0
0003_1_smart-factory-fun-fact-background-indust_gn9RIqFeRtKxRUVozndv4g_lGYSks1uTHW0P1jf-ehG0Q_cover.png,"Smart Factory fun fact background, industrial pattern, subtle design, professional appearance, suitable for background section",OFF,,16:9,2.0,private,997882506,default,,design,#007BFF #FFFFFF #666666,https://ideogram.ai/g/lGYSks1uTHW0P1jf-ehG0Q/0
0004_1_smart-factory-contact-page-header-profes_Nevt-HhlTHau4hEVam4XVA_5a4ew_qjTzahFP3WMJ_k0g_cover.png,"Smart Factory contact page header, professional office environment, business communication theme, clean modern office, suitable for page header",OFF,,21:10,2.0,private,1944582624,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/5a4ew_qjTzahFP3WMJ_k0g/0
0005_1_smart-factory-news-page-header-technolog_m84vLohWS5uKBY9Fv1xchQ_Oo7pwULpQeifquZJqlZ-1g_cover.png,"Smart Factory news page header, technology and innovation background, professional business environment, digital transformation theme, suitable for page header",OFF,,21:10,2.0,private,1899236351,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/Oo7pwULpQeifquZJqlZ-1g/0
0006_1_smart-factory-team-page-header-team-coll_9vN88lR2TeeFgKQ3Wc6Z1A_eAsLvlzbQYqYsxb97ajyWw_cover.png,"Smart Factory team page header, team collaboration background, professional business environment, diverse team working together, suitable for page header",OFF,,21:10,2.0,private,1910572529,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/eAsLvlzbQYqYsxb97ajyWw/0
0007_1_smart-factory-about-page-header-manufact_uVabPbzMR7mZbI3t1baWyg_ocPG3IK9SYClhtBti101mA_cover.png,"Smart Factory about page header, manufacturing facility background, professional business environment, clean industrial setting, suitable for page header",OFF,,21:10,2.0,private,413404346,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/ocPG3IK9SYClhtBti101mA/0
0008_1_professional-company-logo-technology-com_SQWAdMWAQgePEhaauji86g_b9CckJ9jQ5aZcsq96MOAkw_cover.png,"Professional company logo, technology company, clean design, transparent background, suitable for partner section",OFF,,2:1,2.0,private,1216239554,default,,design,#007BFF #FFFFFF,https://ideogram.ai/g/b9CckJ9jQ5aZcsq96MOAkw/0
0009_1_professional-company-logo-manufacturing-_zIY-kbfSRMSUqUJeTZp7oQ_fp4jLw9zSoqEfRi0zlFoCg_cover.png,"Professional company logo, manufacturing company, clean design, transparent background, suitable for partner section",OFF,,2:1,2.0,private,64483690,default,,design,#007BFF #FFFFFF,https://ideogram.ai/g/fp4jLw9zSoqEfRi0zlFoCg/0
0010_1_professional-company-logo-technology-com_nY-_7Os_SKiondlcf8AIDw_GlYmiIHCQUuE845jBM2iSg_cover.png,"Professional company logo, technology company, clean design, transparent background, suitable for partner section",OFF,,2:1,2.0,private,521220925,default,,design,#007BFF #FFFFFF,https://ideogram.ai/g/GlYmiIHCQUuE845jBM2iSg/0
0011_1_professional-company-logo-manufacturing-_wq88rRXcSgOR4n30oyO2uQ_LgehmLwIQTGr72nq_9y6CQ_cover.png,"Professional company logo, manufacturing company, clean design, transparent background, suitable for partner section",OFF,,2:1,2.0,private,2071586826,default,,design,#007BFF #FFFFFF,https://ideogram.ai/g/LgehmLwIQTGr72nq_9y6CQ/0
0012_1_professional-company-logo-technology-com_fYJgC9lLTNa745vm-w3oPA_94ZLvd1wS_Ow9Qgto1CBRQ_cover.png,"Professional company logo, technology company, clean design, transparent background, suitable for partner section",OFF,,2:1,2.0,private,661391536,default,,design,#007BFF #FFFFFF,https://ideogram.ai/g/94ZLvd1wS_Ow9Qgto1CBRQ/0
0013_1_professional-headshot-of-a-satisfied-cli_CgrCYM3kQ3i3NJNFRp7ocg_pFovCWTqTYapVcL-sRom7A_cover.png,"Professional headshot of a satisfied client, business executive, confident expression, professional appearance, suitable for testimonial section",OFF,,1:1,2.0,private,304946230,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/pFovCWTqTYapVcL-sRom7A/0
0014_1_professional-headshot-of-a-satisfied-cli_HrLiE0pXQqSsP_3xwbK0ug_GIqsh_MsQDiQkxsbRR0OjQ_cover.png,"Professional headshot of a satisfied client, business executive, confident expression, professional appearance, suitable for testimonial section",OFF,,1:1,2.0,private,1518823934,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/GIqsh_MsQDiQkxsbRR0OjQ/0
0015_1_professional-headshot-of-a-satisfied-cli_9InhB5emTyS0a_8ltyGWYQ_2J4Fh2TGSo6EHhXIg20pCQ_cover.png,"Professional headshot of a satisfied client, business executive, confident expression, professional appearance, suitable for testimonial section",OFF,,1:1,2.0,private,1433694746,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/2J4Fh2TGSo6EHhXIg20pCQ/0
0016_1_technology-innovation-in-manufacturing-c_cAHUHOMaSMmkEzSPUSsJHA_2Aj2mVUMQmi_uGWuKUF5bg_cover.png,"Technology innovation in manufacturing, cutting-edge technology, innovation lab, research and development, professional business photography",OFF,,8:3,2.0,private,773568369,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/2Aj2mVUMQmi_uGWuKUF5bg/0
0017_1_workshop-environment-in-manufacturing-tr_xv1aFD04RbSSi068QN4vtQ_6ibrChJDTF6tU3AiUv8_6g_cover.png,"Workshop environment in manufacturing, training session, skill development, professional development, professional business photography",OFF,,8:3,2.0,private,2021173271,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/6ibrChJDTF6tU3AiUv8_6g/0
0018_1_corporate-conference-in-manufacturing-bu_7VfhErDPShKvjgz30_3uyw_FwnedEp-SFWtDQKVIuW3iw_cover.png,"Corporate conference in manufacturing, business meeting, professional networking, conference hall, professional business photography",OFF,,8:3,2.0,private,1116824409,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/FwnedEp-SFWtDQKVIuW3iw/0
0019_1_business-strategy-in-manufacturing-strat_uwmqdkuxRjCKiKRM_GUsyA_tXJdcl9fTbWek_xZVX2gjQ_cover.png,"Business strategy in manufacturing, strategic planning, business development, professional business photography",OFF,,8:3,2.0,private,1841385454,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/tXJdcl9fTbWek_xZVX2gjQ/0
0020_1_campaign-and-pr-in-manufacturing-public-_dZEcYwIoSWO4Z3Jndl-18A_BzTRAafTRY-GF-VrTHNvfQ_cover.png,"Campaign and PR in manufacturing, public relations, marketing campaigns, professional business photography",OFF,,8:3,2.0,private,704373077,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/BzTRAafTRY-GF-VrTHNvfQ/0
0021_1_marketing-policy-in-manufacturing-busine_khpzR01SSqqJkarnq583sg_9t0iuVfyR9C8IH2ojqhk6Q_cover.png,"Marketing policy in manufacturing, business strategy, marketing planning, professional business photography",OFF,,8:3,2.0,private,1999648510,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/9t0iuVfyR9C8IH2ojqhk6Q/0
0022_1_creative-strategy-in-manufacturing-innov_l4kpyIYxTNWq4PsEDDpWaw_73VqiFzUQhi0MUoAb34yUQ_cover.png,"Creative strategy in manufacturing, innovative thinking, strategic planning, business innovation, professional business photography",OFF,,8:3,2.0,private,2062332748,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/73VqiFzUQhi0MUoAb34yUQ/0
0023_1_brand-and-communication-in-manufacturing_ZOtnWjZlQ4O-eMD-_Wu2ug_b6-kGlnaTC6bhMaW4kKqDQ_cover.png,"Brand and communication in manufacturing, corporate branding, business communication, professional business photography",OFF,,8:3,2.0,private,1731604373,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/b6-kGlnaTC6bhMaW4kKqDQ/0
0024_1_digital-solutions-in-manufacturing-softw_JW91LqCHRAm-ZYLW_ranDQ_vvFr6f62TyeiRJMBNwwqWg_cover.png,"Digital solutions in manufacturing, software integration, digital transformation, smart factory software, professional business photography",OFF,,8:3,2.0,private,889190798,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/vvFr6f62TyeiRJMBNwwqWg/0
0025_1_smart-factory-success-stories-client-tes_RoqglHs_S4uuKg6HaY-cwA_LyxKLXy3SyeSjKiOB49Azw_cover.png,"Smart Factory success stories, client testimonials visualization, manufacturing success, business transformation, professional business photography",OFF,,8:3,2.0,private,412509753,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/LyxKLXy3SyeSjKiOB49Azw/0
0026_1_industry-4-0-transformation-guide-digita_4aleaiLLTiWMKcaEAmOBQQ_HRey6Q8uQrSxfc-ipTgUkA_cover.png,"Industry 4.0 transformation guide, digital transformation in manufacturing, smart factory evolution, technology roadmap, professional business photography",OFF,,8:3,2.0,private,940452959,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/HRey6Q8uQrSxfc-ipTgUkA/0
0027_1_predictive-maintenance-best-practices-ma_T3FFOTV-QkKxjIezcqd9xw_CYwbnyLGQKmXjTjvVFnboA_cover.png,"Predictive maintenance best practices, maintenance analytics dashboard, equipment monitoring, smart maintenance systems, professional industrial photography",OFF,,8:3,2.0,private,1401649761,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/CYwbnyLGQKmXjTjvVFnboA/0
0028_1_iot-integration-in-smart-manufacturing-c_VcjypJ9hQMSaWADVyCzOGw_5uMQz6o6Q9SPdfAXeEd9Sg_cover.png,"IoT integration in smart manufacturing, connected devices and sensors, industrial internet of things, smart factory connectivity, professional industrial photography",OFF,,8:3,2.0,private,47447525,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/5uMQz6o6Q9SPdfAXeEd9Sg/0
0029_1_manufacturing-automation-trends-2024-cut_EUVgzxRITCe-ShdGilW6VQ_9eisojGZQD-6SESYUm5uBw_cover.png,"Manufacturing automation trends 2024, cutting-edge robotics technology, future of manufacturing, Industry 4.0 trends, professional industrial photography",OFF,,8:3,2.0,private,163900909,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/9eisojGZQD-6SESYUm5uBw/0
0030_1_ai-implementation-case-study-in-manufact_AmwlwuY6QU20Q28tqa5uCQ_whKOAPN0TL2uJl5ORwA8_g_cover.png,"AI implementation case study in manufacturing, success story visualization, before and after comparison, smart factory transformation, professional business photography",OFF,,8:3,2.0,private,384850160,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/whKOAPN0TL2uJl5ORwA8_g/0
0031_1_online-support-icon-customer-service-sym_av-MyMzmQeCP95V0k8ZLQA_qf5gWPLhQbuH5f21sfqtSA_cover.png,"Online support icon, customer service symbol, modern design, blue color scheme, professional appearance, suitable for website feature section",OFF,,1:1,2.0,private,1738922949,default,,design,#007BFF #FFFFFF,https://ideogram.ai/g/qf5gWPLhQbuH5f21sfqtSA/0
0032_1_service-excellence-icon-star-or-award-sy_c6KNb675RU6zuTb_EtS2dA_9DzBHF0TTCSLpRm73NWN2w_cover.png,"Service excellence icon, star or award symbol, modern design, blue color scheme, professional appearance, suitable for website feature section",OFF,,1:1,2.0,private,1319155460,default,,design,#007BFF #FFFFFF,https://ideogram.ai/g/9DzBHF0TTCSLpRm73NWN2w/0
0033_1_team-collaboration-icon-multiple-people-_vQdhpZltSAy6W-v8pVnGxw_KE6CM1ENTUGislQb0KuFvQ_cover.png,"Team collaboration icon, multiple people working together, modern design, blue color scheme, professional appearance, suitable for website feature section",OFF,,1:1,2.0,private,1446779203,default,,design,#007BFF #FFFFFF,https://ideogram.ai/g/KE6CM1ENTUGislQb0KuFvQ/0
0034_1_modern-logistics-and-supply-chain-manage_H71UBoFHQJiGVY6awZgKeQ_qRyFzQJkQuieaFc5Dzc4Bg_cover.png,"Modern logistics and supply chain management, warehouse automation, smart inventory systems, connected supply chain technology, Industry 4.0 logistics, digital supply chain",OFF,,4:3,2.0,private,1104774459,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/qRyFzQJkQuieaFc5Dzc4Bg/0
0035_1_automated-quality-control-system-in-manu_SoIffjNnSMKbziqCfBb6sg_D14FrVZqRn6iGj_pYhWH2Q_cover.png,"Automated quality control system in manufacturing, robotic inspection equipment, precision measurement tools, quality assurance technology, modern factory quality control, AI-powered inspection",OFF,,4:3,2.0,private,1396386652,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/D14FrVZqRn6iGj_pYhWH2Q/0
0036_1_digital-dashboard-showing-predictive-mai_a_009p4-RiuyrFjvtSZm8w_h2A5mSU0SCykOGQSqIiIkw_cover.png,"Digital dashboard showing predictive maintenance analytics, real-time monitoring screens, manufacturing equipment with sensors, data visualization, smart maintenance concept, IoT monitoring",OFF,,4:3,2.0,private,302207853,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/h2A5mSU0SCykOGQSqIiIkw/0
0037_1_industrial-iot-sensors-and-connected-dev_wgCQaYwgQMatF4YFf6OhtQ_FMVfdxMaR9-onZkyATaVkw_cover.png,"Industrial IoT sensors and connected devices in manufacturing environment, smart sensors on machinery, data visualization screens, connected factory concept, Industry 4.0 technology, network connectivity",OFF,,4:3,2.0,private,519648382,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/FMVfdxMaR9-onZkyATaVkw/0
0038_1_advanced-robotics-assembly-line-in-moder_azBHFE8FR3SPkC_qLDoTwQ_Lf6SQTKjSzqKLhmbLWkEsQ_cover.png,"Advanced robotics assembly line in modern factory, automated manufacturing process, industrial robots working, clean factory floor, high-tech manufacturing equipment, Industry 4.0 technology",OFF,,4:3,2.0,private,1084651224,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/Lf6SQTKjSzqKLhmbLWkEsQ/0
0039_1_ai-implementation-in-manufacturing-machi_1ndRNOD5RAiFFlHrg0pptQ_lkEkf6AXTJS71L8gDIAmsg_cover.png,"AI implementation in manufacturing, machine learning algorithms visualized, smart factory AI integration, data analytics dashboard, industrial automation with AI, professional industrial photography",OFF,,4:3,2.0,private,2037974396,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/lkEkf6AXTJS71L8gDIAmsg/0
0040_1_professional-headshot-of-a-female-busine_m8ZTKG4TSM2ebZsQwqE9ig_ORSupQYlS6KSwZMKkPnoMg_cover.png,"Professional headshot of a female business analyst in her 30s, wearing business casual attire, standing against a clean office background, confident expression, high-quality photography, data professional",OFF,,3:4,2.0,private,1453689736,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/ORSupQYlS6KSwZMKkPnoMg/0
0041_1_professional-headshot-of-a-male-systems-_7-oO3qulSH26FYN_Go8w_w_mO7Qyo7BSICYWIC3jnuLrg_cover.png,"Professional headshot of a male systems engineer in his 30s, wearing business casual attire, standing against a clean office background, confident expression, high-quality photography, automation specialist",OFF,,3:4,2.0,private,726171849,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/mO7Qyo7BSICYWIC3jnuLrg/0
0042_1_professional-headshot-of-a-female-projec_hYfDx8-QTbOERke0fEmbbw_vZzvlLVASDOZ_wFS9G8dGA_cover.png,"Professional headshot of a female project manager in her 30s, wearing business casual attire, standing against a clean office background, confident expression, high-quality photography, technology professional",OFF,,3:4,2.0,private,102010167,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/vZzvlLVASDOZ_wFS9G8dGA/0
0043_1_professional-headshot-of-a-male-operatio_XU-5wHT9TnK_aolEGMoOZw_-tKEaMHcQmWNqCbUA2uPXw_cover.png,"Professional headshot of a male operations manager in his 40s, wearing business casual attire, standing against a clean office background, confident expression, high-quality photography, manufacturing professional",OFF,,3:4,2.0,private,1881478404,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/-tKEaMHcQmWNqCbUA2uPXw/0
0044_1_professional-headshot-of-a-female-data-s_wC0Z1UEZS8eji-acX_tqMg_JXMZXGaQStWqLuSgpPwuCQ_cover.png,"Professional headshot of a female data scientist in her 30s, wearing business casual attire, standing against a clean office background, confident expression, high-quality photography, AI specialist",OFF,,3:4,2.0,private,62526352,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/JXMZXGaQStWqLuSgpPwuCQ/0
0045_1_professional-headshot-of-a-male-engineer_AhY99fhmQeyeEvp4OF4J4A_ZUpP8qKqS-a1EFv3w11MnA_cover.png,"Professional headshot of a male engineer in his 30s, wearing business casual attire, standing against a clean office background, confident expression, high-quality photography, manufacturing industry professional",OFF,,3:4,2.0,private,1935101336,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/ZUpP8qKqS-a1EFv3w11MnA/0
0046_1_professional-headshot-of-heather-richard_DDD16nTMQ9q0lUYu6zBPnw_uCZW58-kQ2CyXII_tQw05g_cover.png,"Professional headshot of Heather Richards, Managing Partner of Smart Factory, confident female business executive in her 40s, wearing a professional business suit, standing against a clean office background, natural lighting, high-quality photography, business portrait style, professional appearance, Kansas City business leader",OFF,,4:5,2.0,private,2071045596,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/uCZW58-kQ2CyXII_tQw05g/0
0047_1_professional-headshot-of-doug-richards-e_qSem89FAQQuuWvG6cMsolg_G9qfAEa4Sjy0L1eGtkJHyw_cover.png,"Professional headshot of Doug Richards, Executive Chairman of Smart Factory, confident male business executive in his 50s, wearing a dark suit and tie, standing against a clean office background, natural lighting, high-quality photography, business portrait style, professional appearance, Kansas City business leader",OFF,,4:5,2.0,private,511885077,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/G9qfAEa4Sjy0L1eGtkJHyw/0
0048_1_ai-powered-manufacturing-transformation-_hicobHEhTSGNtnlZVmRwIA_88b7upmwTdecadMmqibJFg_cover.png,"AI-powered manufacturing transformation, machine learning algorithms visualized, data analytics dashboard, smart factory AI implementation, futuristic industrial technology",OFF,,21:10,2.0,private,1570605246,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/88b7upmwTdecadMmqibJFg/0
0049_1_diverse-team-of-manufacturing-profession_wLatnPThTTm3ZWnmqhRXlw_Dh01CJqXRTqCLo3HTUYRSw_cover.png,"Diverse team of manufacturing professionals collaborating in modern factory environment, engineers and technicians working together, smart factory team concept, professional business photography, inclusive workplace",OFF,,21:10,2.0,private,1483442745,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/Dh01CJqXRTqCLo3HTUYRSw/0
0050_1_ai-powered-industrial-robots-working-in-_-Vu2_I2mSNaegee2XqjMHg_Sjts9jwiS_qyBdHeM7Tsgg_cover.png,"AI-powered industrial robots working in modern manufacturing facility, advanced automation systems, robotic arms performing precision tasks, smart factory technology, professional industrial photography",OFF,,21:10,2.0,private,1787146882,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/Sjts9jwiS_qyBdHeM7Tsgg/0
0051_1_modern-smart-factory-manufacturing-facil_ruCCNdTfQgaV8Hzr_XJNcA_RKA1l1Y6RGyYCs-H0JjSNg_cover.png,"Modern smart factory manufacturing facility, advanced automation systems, clean industrial environment, blue and white lighting, Industry 4.0 technology, professional photography style, wide angle view of manufacturing floor",OFF,,21:10,2.0,private,177955035,default,,realistic,#007BFF #FFFFFF #666666,https://ideogram.ai/g/RKA1l1Y6RGyYCs-H0JjSNg/0
0052_1_smart-factory-favicon-simplified-logo-de_fqyfXseKTpaExX7vuC6rMg_uQnE9_K4QqiqZ4SmIRxWEA_cover.png,"Smart Factory favicon, simplified logo design, recognizable at small size, industrial/manufacturing theme",OFF,,1:1,2.0,private,295908826,default,,design,#007BFF #FFFFFF,https://ideogram.ai/g/uQnE9_K4QqiqZ4SmIRxWEA/0
0053_1_smart-factory-logo-in-dark-version-same-_-Fw2ZBvBTpCCVluFniOHfA___eNBpl3QOWqos9U9Tt6TA_cover.png,"Smart Factory logo in dark version, same design as primary but inverted colors, dark background with light text, professional appearance",OFF,,3:1,2.0,private,1702871107,default,,design,#1A1A1A #FFFFFF,https://ideogram.ai/g/__eNBpl3QOWqos9U9Tt6TA/0
0054_1_professional-smart-factory-logo-modern-i_AjGAJPIwTO2saAF7UPWNPw_2ummINliSz-ChZ4oCEi5kw_cover.png,"Professional Smart Factory logo, modern industrial design, clean typography, manufacturing theme, blue and white color scheme, minimalist style, suitable for website header",OFF,,3:1,2.0,private,720494517,default,,design,#007BFF #FFFFFF,https://ideogram.ai/g/2ummINliSz-ChZ4oCEi5kw/0
